Regression Results,,,,
,,,,
,(1),(2),(3),(4)
,Model 1,Model 2,Model 3,Model 4
,,,,
did,0.218,0.328**,0.326**,-0.082
,(0.152),(0.132),(0.133),(0.128)
log_land_reser,,0.514*,0.511*,0.173
,,(0.274),(0.274),(0.273)
log_start_bus,,0.082***,0.083***,
,,(0.031),(0.031),
log_pop_dens,,0.466,0.465,0.131
,,(0.319),(0.320),(0.352)
log_employ,,-0.726**,-0.724**,-0.098
,,(0.307),(0.309),(0.383)
independence,,-1.096,-1.109,-1.322**
,,(0.685),(0.691),(0.520)
em_rate,,0.020***,0.019***,-0.002
,,(0.003),(0.004),(0.006)
log_arnona_rate_res,,,0.129,
,,,(0.607),
log_arnona_rate_bus,,,,0.107
,,,,(0.202)
log_start_res,,,,0.118***
,,,,(0.044)
,,,,
Constant,3.234***,4.849,4.402,0.838
,(0.085),(3.842),(4.235),(4.819)
,,,,
R-squared,0.191,0.266,0.266,0.110
N,1173,1173,1173,1173
,,,,
Standard errors in parentheses,,,,
"=""Standard errors in parentheses; * p<0.05", ** p<0.05," *** p<0.01""",,
"=""* p<0.10", ** p<0.05," *** p<0.01""",,
