="Regression Results"

="",="(1)",="(2)",="(3)",="(4)"
="",="Model 5",="Model 6",="Model 7",="Model 8"

="did",="0.326**",="0.518**",="0.519**",="0.544*"
="",="(0.133)",="(0.252)",="(0.252)",="(0.315)"

="log_arnona_rate_res",="0.129",="",="",=""
="",="(0.607)",="",="",=""

="log_land_reser",="0.511*",="",="0.120",=""
="",="(0.274)",="",="(0.263)",=""

="log_start_bus",="0.083***",="0.089**",="0.089**",="0.101***"
="",="(0.031)",="(0.036)",="(0.037)",="(0.038)"

="log_pop_dens",="0.465",="",="0.175",=""
="",="(0.320)",="",="(0.295)",=""

="log_employ",="-0.724**",="-1.654***",="-1.693***",="-1.550***"
="",="(0.309)",="(0.503)",="(0.468)",="(0.567)"

="independence",="-1.109",="-2.212***",="-2.224***",="-1.950**"
="",="(0.691)",="(0.742)",="(0.741)",="(0.767)"

="em_rate",="0.019***",="0.013***",="0.013***",="0.013***"
="",="(0.004)",="(0.003)",="(0.003)",="(0.004)"

="year=2003",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"

="year=2004",="-0.067",="0.113",="0.111",="0.045"
="",="(0.104)",="(0.140)",="(0.139)",="(0.132)"

="year=2005",="-0.471***",="-0.315*",="-0.324**",="-0.358**"
="",="(0.120)",="(0.164)",="(0.159)",="(0.174)"

="year=2006",="-0.086",="0.066",="0.064",="0.080"
="",="(0.108)",="(0.152)",="(0.152)",="(0.142)"

="year=2007",="-0.158",="-0.165",="-0.169",="-0.124"
="",="(0.117)",="(0.128)",="(0.125)",="(0.125)"

="year=2008",="-0.015",="0.285*",="0.285*",="0.181"
="",="(0.143)",="(0.155)",="(0.155)",="(0.133)"

="year=2009",="0.206",="0.420***",="0.424***",="0.430***"
="",="(0.152)",="(0.142)",="(0.142)",="(0.142)"

="year=2010",="0.460**",="0.672***",="0.675***",="0.702***"
="",="(0.176)",="(0.200)",="(0.200)",="(0.214)"

="year=2011",="0.646***",="0.849***",="0.853***",="0.804***"
="",="(0.185)",="(0.144)",="(0.145)",="(0.157)"

="year=2012",="0.248",="0.481***",="0.479***",="0.454***"
="",="(0.206)",="(0.158)",="(0.156)",="(0.158)"

="year=2013",="0.564***",="0.797***",="0.796***",="0.774***"
="",="(0.202)",="(0.156)",="(0.154)",="(0.158)"

="year=2014",="0.360",="0.682***",="0.675***",="0.656***"
="",="(0.245)",="(0.170)",="(0.172)",="(0.176)"

="year=2015",="0.616**",="0.958***",="0.952***",="0.928***"
="",="(0.246)",="(0.184)",="(0.182)",="(0.191)"

="year=2016",="0.600**",="0.969***",="0.964***",="0.939***"
="",="(0.254)",="(0.188)",="(0.186)",="(0.197)"

="year=2017",="0.365",="0.735***",="0.730***",="0.705***"
="",="(0.253)",="(0.195)",="(0.194)",="(0.205)"

="year=2018",="0.459*",="0.861***",="0.857***",="0.827***"
="",="(0.270)",="(0.223)",="(0.225)",="(0.238)"

="year=2019",="0.625**",="1.053***",="1.051***",="1.017***"
="",="(0.297)",="(0.233)",="(0.232)",="(0.253)"

="Constant",="4.402",="20.959***",="19.342***",="19.725***"
="",="(4.235)",="(5.155)",="(6.621)",="(5.730)"

="R-squared",="0.266",="0.207",="0.208",="0.209"
="N",="1173",="752",="752",="755"

="Standard errors in parentheses"
="Standard errors in parentheses; * p<0.05, ** p<0.05, *** p<0.01"
="* p<0.10, ** p<0.05, *** p<0.01"
