="",="count",="mean",="sd",="min",="max"
="totalpopulation",="793",="98.35594",="118.6311",="15.9",="936.425"
="employees",="793",="41870.69",="45486.34",="5561",="306765"
="wage",="793",="7857.112",="2212.765",="3880",="14825"
="socialeconomicscore",="793",="5.408575",="1.96099",="1",="9"
="arnona_rate_res",="793",="43.26902",="9.674032",="27.87774",="76.81019"
="arnona_rate_bus",="793",="155.8583",="63.86469",="28.06091",="345.1951"
="residentialstarts",="793",="92.88121",="106.6606",="0",="731"
="businessstarts",="791",="29.83375",="53.54334",="0",="570.3"
="balance",="793",="-1338.103",="11786.19",="-76757",="53362"
="accumulatedbalance",="793",="-51774.5",="99716.18",="-881345",="95864"
="independence",="793",=".5127215",=".1352327",=".1326283",=".7787817"
="immigration",="793",="3122.928",="3529.784",="85",="24865"
="emmigration",="793",="3234.555",="3894.822",="78",="25336"
